id,title,module,opportunity_type,description,benefit_amount,benefit_type,min_age,max_age,age_relaxation,income_max,income_min,state,district,category,gender,qualification,cgpa_required,experience_required,business_stage,startup_registered,land_size_min,land_size_max,crop_type,land_required,land_owner_required,required_documents,required_skills,required_followup_questions,deadline,renewal_frequency,official_link,source_name,source_type,priority_score,verification_status,last_updated,application_count,readiness_score_formula,eligibility_explanation,similarity_score,profile_match_percentage,notification_trigger,created_at,updated_at
11,Top Class Education SC,students,scholarship,Scholarship for top class education for SC students,45000.0,annual,18,35,,1000000.0,0.0,Telangana,,sc,any,btech,7.5,,,,,,False,False,"[""Aadhaar Card"", ""SC Certificate"", ""Income Certificate"", ""Bank Account"", ""BTech Admission"", ""Marksheets""]","[]","[""Are you SC category?"", ""Are you BTech student?"", ""What is CGPA?"", ""What is income?""]","2026-03-31","annual","https://scholarships.gov.in/topclass-sc","Ministry of Social Justice, GOI","central_government",89,verified,2026-06-01,125000,"(cgpa*0.7) + (category*0.2) + (income*0.1)","SC BTech student with CGPA>=7.5 and income<1000k",0.84,84.0,"30_days_before_deadline","2026-01-01","2026-06-01"
12,Victimized Children Scholarship,students,scholarship,Scholarship for children of victims of terrorism/naxalism,30000.0,annual,5,35,,1000000.0,0.0,Telangana,,any,any,any,6.5,,,,,,False,False,"[""Aadhaar Card"", ""Victim Certificate"", ""Income Certificate"", ""Bank Account"", ""Admission Proof""]","[]","[""Are you victim family?"", ""What is education level?"", ""What is income?""]","2026-05-31","annual","https://scholarships.gov.in/victimized","Ministry of Home Affairs, GOI","central_government",85,verified,2026-06-01,45000,"(victim_status*0.8) + (income*0.2)","Victim family child with income<1000k",0.80,80.0,"30_days_before_deadline","2026-01-01","2026-06-01"
13,工程师 Scholarship (Engineer Scholarship),students,scholarship,Scholarship for engineering students from low-income families,15000.0,annual,17,30,,300000.0,0.0,Telangana,Hyderabad,any,any,btech,7.0,,,,,,False,False,"[""Aadhaar Card"", ""Income Certificate"", ""BTech Admission"", ""Bank Account"", ""Marksheets""]","[]","[""Are you BTech student?"", ""What is CGPA?"", ""What is income?""]","2026-04-30","annual","https://engineerscholarship.gov.in","Ministry of Education, GOI","central_government",86,verified,2026-06-01,185000,"(cgpa*0.6) + (income*0.4)","BTech student with CGPA>=7.0 and income<300k",0.81,81.0,"30_days_before_deadline","2026-01-01","2026-06-01"
14,Industrial Training Scholarship,students,scholarship,Scholarship for industrial training students,12000.0,annual,16,35,,400000.0,0.0,Telangana,,any,any,iti,6.5,,,,,,False,False,"[""Aadhaar Card"", ""Income Certificate"", ""ITI Admission"", ""Bank Account"", ""Marksheets""]","[]","[""Are you ITI student?"", ""What is CGPA?"", ""What is income?""]","2026-05-31","annual","https://iti.gov.in/scholarship","Ministry of Skill Development","central_government",83,verified,2026-06-01,145000,"(cgpa*0.6) + (income*0.4)","ITI student with CGPA>=6.5 and income<400k",0.78,78.0,"30_days_before_deadline","2026-01-01","2026-06-01"
15,National Scholarship for Disabled,students,scholarship,Scholarship for students with disability,25000.0,annual,5,45,,1000000.0,0.0,Telangana,,any,any,any,6.0,,,,,,False,False,"[""Aadhaar Card"", ""Disability Certificate"", ""Income Certificate"", ""Bank Account"", ""Admission Proof""]","[]","[""Do you have disability?"", ""What is education level?"", ""What is income?""]","2026-05-31","annual","https://scholarships.gov.in/disabled","Ministry of Social Justice, GOI","central_government",88,verified,2026-06-01,95000,"(disability*0.7) + (income*0.3)","Student with disability and income<1000k",0.83,83.0,"30_days_before_deadline","2026-01-01","2026-06-01"
16,Internship@IIT,students,internship,IIT internship program for undergraduate students,50000.0,internship_salary,18,25,,2000000.0,0.0,Telangana,Hyderabad,any,any,btech,8.0,,,,,,False,False,"[""Aadhaar Card"", ""Student ID"", ""CGPA Certificate"", ""Resume"", ""Email Verification""]","[""Python"", ""C/C++"", ""Research"", ""Problem Solving""]","[""Are you BTech student?"", ""What is CGPA?"", ""What research area?"", ""Do you have coding experience?""]","2026-06-15","annual","https://iit.internship.gov.in","IITs, Ministry of Education","central_government",91,verified,2026-06-01,75000,"(cgpa*0.7) + (research_experience*0.3)","BTech student with CGPA>=8.0 and research interest",0.86,86.0,"7_days_before_deadline","2026-01-01","2026-06-01"
17,NSC Internship,students,internship,National Skill Development internship program,30000.0,internship_salary,18,30,,1000000.0,0.0,Telangana,Hyderabad,any,any,diploma,7.0,,,,,,False,False,"[""Aadhaar Card"", ""Diploma ID"", ""Income Certificate"", ""Resume"", ""Bank Account""]","[""Communication"", ""Technical Skills"", ""Problem Solving""]","[""Are you diploma student?"", ""What is CGPA?"", ""What skill do you have?""]","2026-08-31","annual","https://nsc.gov.in/internship","NSDC, Ministry of Skill Development","central_government",84,verified,2026-06-01,125000,"(cgpa*0.6) + (skill_level*0.4)","Diploma student with CGPA>=7.0 and skill",0.79,79.0,"30_days_before_deadline","2026-01-01","2026-06-01"
18,Startup Internship,students,internship,Internship in startups with mentorship,25000.0,internship_salary,18,30,,2000000.0,0.0,Telangana,Hyderabad,any,any,btech,7.5,,,,,,False,False,"[""Aadhaar Card"", ""Student ID"", ""Resume"", ""GitHub Profile"", ""Email""]","[""Python"", ""Web Dev"", ""AI/ML"", ""Startup Mindset""]","[""Are you studying?"", ""What is CGPA?"", ""Do you have GitHub?"", ""What startup interest?""]","2026-12-31","annual","https://startup.internship.gov.in","Startup India, GOI","central_government",87,verified,2026-06-01,95000,"(cgpa*0.5) + (github*0.3) + (startup_interest*0.2)","Student with CGPA>=7.5 and GitHub profile",0.81,81.0,"30_days_before_deadline","2026-01-01","2026-06-01"
19,Research Fellowship UGC,students,fellowship,UGC research fellowship for PhD students,35000.0,monthly_fellowship,21,40,,1500000.0,0.0,Telangana,Hyderabad,any,any,phd,8.0,,,,,,False,False,"[""Aadhaar Card"", ""PhD Admission"", ""NET Qualification"", ""Bank Account"", ""Research Proposal""]","[""Research"", ""Writing"", ""Subject Expertise"", ""Analysis""]","[""Are you PhD student?"", ""Do you have NET?"", ""What is research area?"", ""What is CGPA?""]","2026-07-31","monthly","https://ugc.gov.in/fellowship","UGC, Ministry of Education","central_government",90,verified,2026-06-01,65000,"(net*0.6) + (cgpa*0.3) + (research_quality*0.1)","PhD student with NET qualification and CGPA>=8.0",0.85,85.0,"30_days_before_deadline","2026-01-01","2026-06-01"
20,Telangana Merit Scholarship,students,scholarship,Merit-based scholarship for Telangana top performers,20000.0,annual,10,30,,1000000.0,0.0,Telangana,Hyderabad,any,any,any,9.0,,,,,,False,False,"[""Aadhaar Card"", ""Domicile Certificate"", ""Marksheets"", ""Bank Account"", ""Merit Certificate""]","[]","[""Are you Telangana resident?"", ""What is your score?"", ""What is income?""]","2026-05-31","annual","https://telangana.gov.in/merit-scholarship","Government of Telangana","state_government",88,verified,2026-06-01,285000,"(score*0.8) + (income*0.2)","Telangana student with score>=90% and income<1000k",0.84,84.0,"30_days_before_deadline","2026-01-01","2026-06-01"
