id,title,module,opportunity_type,description,benefit_amount,benefit_type,min_age,max_age,age_relaxation,income_max,income_min,state,district,category,gender,qualification,cgpa_required,experience_required,business_stage,startup_registered,land_size_min,land_size_max,crop_type,land_required,land_owner_required,required_documents,required_skills,required_followup_questions,deadline,renewal_frequency,official_link,source_name,source_type,priority_score,verification_status,last_updated,application_count,readiness_score_formula,eligibility_explanation,similarity_score,profile_match_percentage,notification_trigger,created_at,updated_at
11,Textile Women Grant,women_entrepreneurs,grant,Grant for women in textile industry,450000.0,grant,18,65,,6000000.0,0.0,Telangana,,any,female,any,,,,growth,False,False,"[""Aadhaar Card"", ""Female ID"", ""Business Registration"", ""Bank Account"", ""Textile Plan"", ""Financial Statements""]","[""Textile Knowledge"", ""Business Management"", ""Quality Control"", ""Marketing""]","[""Are you female?"", ""Is business textile type?"", ""What is investment?"", ""Do you have experience?""]","2026-10-31","once","https://textiles.gov.in/women","Ministry of Textiles","central_government",90,verified,2026-06-01,72000,"(female*0.6) + (investment*0.3) + (experience*0.1)","Female textile entrepreneur with investment>=25L and experience",0.84,84.0,"30_days_before_deadline","2026-01-01","2026-06-01"
12,Food Processing Women,women_entrepreneurs,subsidy,Subsidy for women in food processing,400000.0,subsidy,18,65,,7000000.0,0.0,Telangana,,any,female,any,,,,growth,False,False,"[""Aadhaar Card"", ""Female ID"", ""Business Registration"", ""Bank Account"", ""Food Plan"", ""FSSAI License"", ""Financial Statements""]","[""Food Processing"", ""Business Management"", ""Quality Control"", ""FSSAI Knowledge""]","[""Are you female?"", ""Is business food processing?"", ""Do you have FSSAI?"", ""What is investment?""]","2026-12-31","once","https://foodprocessing.gov.in/women","Ministry of Food Processing","central_government",92,verified,2026-06-01,68000,"(female*0.6) + (fssai*0.3) + (investment*0.1)","Female food processing entrepreneur with FSSAI and investment>=25L",0.87,87.0,"30_days_before_deadline","2026-01-01","2026-06-01"
13,Women Dairy Entrepreneur,women_entrepreneurs,loan,Loan for women dairy entrepreneurship,2000000.0,loan,18,60,,5000000.0,0.0,Telangana,Rural,any,female,any,,,,ideation,False,False,"[""Aadhaar Card"", ""Female ID"", ""Bank Account"", ""Dairy Plan"", ""Address Proof"", ""Rural Domicile""]","[""Dairy Knowledge"", ""Business Planning"", ""Animal Care"", ""Financial Literacy""]","[""Are you female?"", ""Are you from rural area?"", ""Do you want dairy business?"", ""What loan amount?""]","2026-11-30","annual","https://nabard.gov.in/women-dairy","NABARD","central_government",88,verified,2026-06-01,95000,"(female*0.6) + (rural_status*0.3) + (dairy_interest*0.1)","Female rural entrepreneur interested in dairy",0.83,83.0,"30_days_before_deadline","2026-01-01","2026-06-01"
14,Women IT Startup,women_entrepreneurs,seed_funding,Seed funding for women in IT startups,3000000.0,seed_funding,21,45,,8000000.0,0.0,Telangana,Hyderabad,any,female,any,,,,ideation,True,False,"[""Aadhaar Card"", ""Female ID"", ""Startup Registration"", ""Bank Account"", ""Pitch Deck"", ""GitHub Profile"", ""Business Plan""]","[""Programming"", ""IT Knowledge"", ""Business Planning"", ""Presentation"", ""Innovation""]","[""Are you female?"", ""Is startup registered?"", ""Do you have GitHub?"", ""What is IT idea?""]","2026-12-31","once","https://startupindia.gov.in/women-it","Startup India, GOI","central_government",95,verified,2026-06-01,125000,"(female*0.5) + (innovation*0.3) + (github*0.2)","Female IT entrepreneur with GitHub and innovative idea",0.89,89.0,"30_days_before_deadline","2026-01-01","2026-06-01"
15,Women Retail Entrepreneur,women_entrepreneurs,grant,Grant for women retail business,350000.0,grant,18,60,,4000000.0,0.0,Telangana,Hyderabad,any,female,any,,,,startup,False,False,"[""Aadhaar Card"", ""Female ID"", ""Business Plan"", ""Bank Account"", ""Location Proof"", ""Retail Plan""]","[""Retail Knowledge"", ""Business Management"", ""Marketing"", ""Customer Service""]","[""Are you female?"", ""What retail type?"", ""What is location?"", ""What is investment?""]","2026-10-31","once","https://retail.gov.in/women","Ministry of Commerce","central_government",87,verified,2026-06-01,78000,"(female*0.6) + (location*0.3) + (investment*0.1)","Female retail entrepreneur with good location and investment>=20L",0.82,82.0,"30_days_before_deadline","2026-01-01","2026-06-01"
16,Women Catering Business,women_entrepreneurs,subsidy,Subsidy for women catering business,300000.0,subsidy,18,60,,3000000.0,0.0,Telangana,,any,female,any,,,,ideation,False,False,"[""Aadhaar Card"", ""Female ID"", ""Bank Account"", ""Catering Plan"", ""FSSAI License"", ""Business Plan""]","[""Catering Skills"", ""Business Planning"", ""Food Safety"", ""Customer Service""]","[""Are you female?"", ""Do you want catering business?"", ""Do you have FSSAI?"", ""What is investment?""]","2026-11-30","once","https://catering.gov.in/women","Ministry of Food Processing","central_government",86,verified,2026-06-01,65000,"(female*0.6) + (fssai*0.3) + (investment*0.1)","Female with catering interest and FSSAI license",0.81,81.0,"30_days_before_deadline","2026-01-01","2026-06-01"
17,Women Beauty Salon,women_entrepreneurs,grant,Grant for women beauty salon business,250000.0,grant,18,55,,2500000.0,0.0,Telangana,Hyderabad,any,female,any,,,,ideation,False,False,"[""Aadhaar Card"", ""Female ID"", ""Bank Account"", ""Salon Plan"", ""Business Plan"", ""Location Proof""]","[""Beauty Skills"", ""Business Planning"", ""Customer Service"", ""Marketing""]","[""Are you female?"", ""Do you want salon business?"", ""What is location?"", ""What is investment?""]","2026-12-31","once","https://salon.gov.in/women","Ministry of MSME","central_government",84,verified,2026-06-01,58000,"(female*0.6) + (location*0.3) + (investment*0.1)","Female with salon interest and good location",0.79,79.0,"30_days_before_deadline","2026-01-01","2026-06-01"
18,Women Tailoring Business,women_entrepreneurs,subsidy,Subsidy for women tailoring business,200000.0,subsidy,18,60,,2000000.0,0.0,Telangana,Rural,any,female,any,,,,ideation,False,False,"[""Aadhaar Card"", ""Female ID"", ""Bank Account"", ""Tailoring Plan"", ""Business Plan"", ""Rural Domicile""]","[""Tailoring Skills"", ""Business Planning"", ""Marketing"", ""Rural Development""]","[""Are you female?"", ""Are you from rural area?"", ""Do you have tailoring skills?"", ""What is investment?""]","2026-11-30","once","https://tailoring.gov.in/women","Ministry of MSME","central_government",85,verified,2026-06-01,72000,"(female*0.6) + (rural_status*0.3) + (tailoring_skills*0.1)","Female rural entrepreneur with tailoring skills",0.80,80.0,"30_days_before_deadline","2026-01-01","2026-06-01"
19,Women Education Startup,women_entrepreneurs,seed_funding,Seed funding for women in education startups,2000000.0,seed_funding,21,45,,6000000.0,0.0,Telangana,Hyderabad,any,female,any,,,,ideation,True,False,"[""Aadhaar Card"", ""Female ID"", ""Startup Registration"", ""Bank Account"", ""Pitch Deck"", ""Education Plan"", ""Business Plan""]","[""Education Knowledge"", ""Business Planning"", ""Innovation"", ""Presentation""]","[""Are you female?"", ""Is startup registered?"", ""What is education idea?"", ""What is team size?""]","2026-12-31","once","https://startupindia.gov.in/women-edu","Startup India, GOI","central_government",91,verified,2026-06-01,88000,"(female*0.5) + (innovation*0.4) + (education_knowledge*0.1)","Female with innovative education startup idea",0.85,85.0,"30_days_before_deadline","2026-01-01","2026-06-01"
20,Women Health Startup,women_entrepreneurs,seed_funding,Seed funding for women in health startups,3500000.0,seed_funding,21,45,,10000000.0,0.0,Telangana,Hyderabad,any,female,any,,,,ideation,True,False,"[""Aadhaar Card"", ""Female ID"", ""Startup Registration"", ""Bank Account"", ""Pitch Deck"", ""Health Plan"", ""Business Plan"", ""Medical License""]","[""Health Knowledge"", ""Business Planning"", ""Innovation"", ""Presentation"", ""Medical Knowledge""]","[""Are you female?"", ""Is startup registered?"", ""Do you have medical license?"", ""What is health idea?""]","2026-12-31","once","https://startupindia.gov.in/women-health","Startup India, GOI","central_government",93,verified,2026-06-01,75000,"(female*0.5) + (medical_license*0.3) + (innovation*0.2)","Female with medical license and innovative health startup",0.87,87.0,"30_days_before_deadline","2026-01-01","2026-06-01"
